344	1
344	168
287	2
287	30
287	44
287	53
287	91
287	225
287	226
287	259
287	307
287	365
287	384
287	390
287	401
287	500
187	3
187	84
187	94
187	204
187	299
187	317
187	424
187	476
187	503
3	476
476	366
476	490
194	4
194	39
194	209
4	209
243	5
243	349
243	430
243	441
243	478
5	349
5	430
5	441
5	478
349	143
349	430
349	438
349	441
349	478
430	441
430	478
441	113
441	275
441	346
441	478
441	484
48	6
48	122
48	143
48	244
48	437
6	122
6	143
122	143
143	230
143	391
143	438
66	7
66	71
66	87
66	93
66	99
66	110
66	213
66	252
66	264
66	297
66	357
66	400
66	442
66	453
66	457
7	87
7	93
7	110
7	213
7	297
7	453
87	93
87	110
87	213
87	297
87	453
93	11
93	12
93	13
93	65
93	71
93	75
93	77
93	110
93	120
93	137
93	147
93	162
93	163
93	165
93	169
93	186
93	188
93	213
93	252
93	256
93	261
93	265
93	266
93	282
93	290
93	297
93	298
93	314
93	318
93	321
93	333
93	342
93	354
93	355
93	357
93	377
93	381
93	397
93	410
93	423
93	451
93	453
93	457
93	463
93	475
93	493
93	511
110	38
110	61
110	106
110	107
110	163
110	213
110	233
110	297
110	372
110	411
110	453
213	297
213	453
297	453
269	8
269	95
269	111
269	151
269	183
269	315
269	399
262	9
262	51
262	72
262	178
262	235
262	426
262	509
280	10
280	347
280	378
280	393
280	432
10	347
10	378
10	393
10	432
347	378
347	393
347	432
378	393
378	432
378	470
393	432
11	163
11	169
11	251
11	282
11	333
11	355
11	364
163	12
163	13
163	38
163	54
163	61
163	71
163	106
163	107
163	120
163	137
163	162
163	169
163	233
163	260
163	267
163	302
163	304
163	332
163	333
163	355
163	372
163	389
163	411
163	463
169	75
169	121
169	142
169	229
169	257
169	265
169	266
169	298
169	321
169	336
169	355
251	364
282	71
282	255
282	333
282	345
282	357
282	371
333	267
333	302
333	304
355	71
355	75
355	77
355	137
355	186
355	260
355	265
355	266
355	298
355	321
355	358
355	377
364	115
364	125
364	192
364	436
13	12
13	120
13	162
13	463
12	120
12	162
12	463
120	162
120	463
162	463
463	75
463	298
463	318
422	14
422	343
422	510
422	515
81	15
81	313
81	457
81	462
81	506
15	313
15	457
15	506
313	457
313	506
457	56
457	71
457	99
457	101
457	137
457	186
457	188
457	205
457	218
457	253
457	256
457	285
457	314
457	340
457	354
457	357
457	389
457	469
457	493
457	506
457	511
67	16
67	41
67	134
67	182
67	271
67	405
67	434
67	514
26	17
26	24
26	25
26	39
26	82
26	97
26	128
26	129
26	207
26	208
26	415
17	128
17	456
128	215
128	456
456	184
456	191
456	215
456	306
456	455
113	18
113	59
113	80
113	116
113	117
113	131
113	139
113	145
113	146
113	155
